category,correct_response,game,value,clue
POTPOURRI,pumpernickel,"Show #2571 - Monday, November 6, 1995",800,"This heavy, dark rye bread is also known as Schwarzbrot, or black bread"
WORLD CITIES,fructose,"Show #2571 - Monday, November 6, 1995",,"Sweeter than sucrose or glucose, this fruit sugar is also called levulose"
TRAVEL & TOURISM,the Triple Jump,"Show #2571 - Monday, November 6, 1995",1000,"On Aug. 7, 1995 Jonathan Edwards became the first man to leap further than 60 feet in this event"
RHYME TIME,Oscar Wilde,"Show #2571 - Monday, November 6, 1995",1000,"""Double Exposure"" is a Joe Layton ballet based on this author's 1891 novel ""The Picture of Dorian Gray"""
THE BIBLE,Woodrow Wilson,"Show #2571 - Monday, November 6, 1995",,"With Republicans split between Taft & Teddy Roosevelt, this Democrat was elected president in 1912"
POTPOURRI,a scone,"Show #2571 - Monday, November 6, 1995",1000,"Traditionally, this Scottish tea treat is split in two & eaten with butter, preserves & clotted cream"
WORLD CITIES,sterile (sterility accepted),"Show #2571 - Monday, November 6, 1995",1000,This word can mean unable to produce offspring or free from living microorganisms
WORLD CITIES,Scorpio & Cancer,"Show #2541 - Monday, September 25, 1995",,The two signs of the Zodiac symbolized by arthropods
DOUBLE TALK,Antwerp,"Show #2541 - Monday, September 25, 1995",500,More diamonds are cut and traded in this Belgian port city than anywhere else in the world
HISTORY,chop-chop,"Show #2541 - Monday, September 25, 1995",500,"From Chinese Pidgin English, it means very quickly"
CLASSIC SITCOMS,Genghis Khan,"Show #2541 - Monday, September 25, 1995",200,As a young man this Mongol leader entered the service of Toghril Khan
ANNUAL EVENTS,Richard the Lionhearted,"Show #2541 - Monday, September 25, 1995",200,"In ""Ivanhoe"" Wilfred has been disinherited for following this crusading king"
ASTROLOGY,Latin,"Show #2541 - Monday, September 25, 1995",200,"Of the modern Romance languages, Sardinian is the most similar to the vulgar form of this language"
WORLD CITIES,New York state,"Show #2541 - Monday, September 25, 1995",200,"Seneca, the largest of this state's Finger Lakes, is more than 600 feet deep"
DOUBLE TALK,anesthetic,"Show #2541 - Monday, September 25, 1995",200,"It's a drug that causes a temporary loss of sensation; novocain is a ""local"" one"
HISTORY,Carol Channing,"Show #2541 - Monday, September 25, 1995",200,"""Hello, Dolly!"" was conceived with Ethel Merman in mind, but this actress was the first to play the title role"
CLASSIC SITCOMS,a dirigible,"Show #2541 - Monday, September 25, 1995",400,"In 1926 Roald Amundsen flew over the North Pole in the Norge, this type of craft"
ANNUAL EVENTS,the Great Gatsby,"Show #2541 - Monday, September 25, 1995",400,George Wilson kills this Fitzgerald title character after Daisy runs over Wilson's wife
ASTROLOGY,German,"Show #2541 - Monday, September 25, 1995",400,"Swedish contains many loanwords from both the ""low"" & ""high"" forms of this language"
WORLD CITIES,Lake Michigan,"Show #2541 - Monday, September 25, 1995",400,in 1900 the Chicago River's course was reversed to flow from this lake to the Des Plaines River
SCIENCE,violet,"Show #2543 - Wednesday, September 27, 1995",300,"It's the ""flowery"" color of Elizabeth Taylor's eyes"
POP MUSIC,the Hubble telescope,"Show #2543 - Wednesday, September 27, 1995",300,In 1990 this space telescope provided the first picture of Charon as completely separate from Pluto
STATE CAPITALS,"Monday(, Monday)","Show #2543 - Wednesday, September 27, 1995",300,"You ""can't trust that day"", according to The Mamas & The Papas"
FOREIGN WORDS & PHRASES,"Olympia(, Washington)","Show #2543 - Wednesday, September 27, 1995",300,This capital lies at the southern end of Puget Sound on Budd Inlet & Capitol Lake
HISTORY,coconut,"Show #2543 - Wednesday, September 27, 1995",300,"In Dutch, apricots are abrikozen, figs are vijgen & this fruit is kokosnoot"
COLORS,Israel,"Show #2543 - Wednesday, September 27, 1995",400,"Jacob's other name was this, like the 12 tribes descended from him"
SCIENCE,purple,"Show #2543 - Wednesday, September 27, 1995",400,"This color found on the togas of Roman emperors is a synonym for ""regal"""
POP MUSIC,Sir Isaac Newton,"Show #2543 - Wednesday, September 27, 1995",400,"He outlines his 3 laws of motion in ""Philosophiae Naturalis Principia Mathematica"""
STATE CAPITALS,Bonnie Raitt,"Show #2543 - Wednesday, September 27, 1995",400,"At age 40, she won 3 Grammys for ""Nick of Time"", 1989's album of the year"
FOREIGN WORDS & PHRASES,"Richmond(, Virginia)","Show #2543 - Wednesday, September 27, 1995",400,"When this future Confederate capital became a city in 1782, half of its population was slaves"
HISTORY,winter,"Show #2543 - Wednesday, September 27, 1995",400,The French refer to this season of the year as l'hiver
COLORS,Saul,"Show #2543 - Wednesday, September 27, 1995",500,"In 1 Samuel 31 this king falls upon his own sword, opening the way for David to become king"
SCIENCE,champagne,"Show #2543 - Wednesday, September 27, 1995",500,This pale yellow color shares its name with a French region & the sparkling wine produced there
ALL ABOUT TEETH,Cartwright,"Show #1837 - Tuesday, September 8, 1992",100,"On ""Bonanza"", it was the last name of Ben, Hoss, Little Joe & Adam"
STATE SYMBOLS,your eye teeth,"Show #1837 - Tuesday, September 8, 1992",100,"People are often willing to ""give"" these for something they greatly desire"
"STARTS WITH ""J""",New Mexico,"Show #1837 - Tuesday, September 8, 1992",100,"Its state poem is ""A Nuevo Mexico"""
PRESIDENTIAL MOMS,Johnny,"Show #1837 - Tuesday, September 8, 1992",100,"This name can precede Reb, cake or -on-the-spot"
THE AMERICAN REVOLUTION,FDR,"Show #1837 - Tuesday, September 8, 1992",100,Sara Delano
TV NOSTALGIA,blood,"Show #1837 - Tuesday, September 8, 1992",200,"In chapter 7 of Exodus, God turns the waters of the Nile into this"
ALL ABOUT TEETH,Gumby,"Show #1837 - Tuesday, September 8, 1992",200,Pokey the Horse was the constant companion of this flexible little fellow
STATE SYMBOLS,tooth-and-nail,"Show #1837 - Tuesday, September 8, 1992",200,It's the 3-word term for fighting or going at something with great ferocity
"STARTS WITH ""J""",Alaska,"Show #1837 - Tuesday, September 8, 1992",200,In 1972 this state declared dog mushing the state sport
PRESIDENTIAL MOMS,a jingle,"Show #1837 - Tuesday, September 8, 1992",200,"A metallic sound made by a sleigh bell, or a catchy tune in a commercial"
THE AMERICAN REVOLUTION,Lincoln,"Show #1837 - Tuesday, September 8, 1992",200,Nancy Hanks
TV NOSTALGIA,Paul,"Show #1837 - Tuesday, September 8, 1992",300,13 of the New Testament's 27 books are attributed to him
ALL ABOUT TEETH,,"Show #1837 - Tuesday, September 8, 1992",300,"C. Lindbergh's son Jon, an ex-Navy frogman, was an advisor for this 1950s Lloyd Bridges adventure series"
STATE SYMBOLS,orthodontics,"Show #1837 - Tuesday, September 8, 1992",300,"From the Greek for ""straight teeth"" it's the dental specialty that makes them that way"
DOUBLE TALK,gums,"Show #2541 - Monday, September 25, 1995",400,It's a synonym for gingiva
HISTORY,,"Show #2541 - Monday, September 25, 1995",400,In 1991 Jonathan Pryce & Lea Salonga won Tonys for acting in this British import
CLASSIC SITCOMS,Queen Isabella,"Show #2541 - Monday, September 25, 1995",,This queen was the mother of Catherine of Aragon
ANNUAL EVENTS,Tom Joad,"Show #2541 - Monday, September 25, 1995",600,"At the start of ""The Grapes of Wrath"", this character, just released from prison, meets Jim Casy"
ASTROLOGY,Greek,"Show #2541 - Monday, September 25, 1995",600,The primitive Mycenaean form of this language was spoken at least as far back as the 13th century B.C.
WORLD CITIES,Wisconsin,"Show #2541 - Monday, September 25, 1995",600,Winnebago is this Midwest state's largest lake
DOUBLE TALK,ovulation,"Show #2541 - Monday, September 25, 1995",600,"When a woman's basal body temperature rises, it's normally a sign that this has just occurred"
HISTORY,,"Show #2541 - Monday, September 25, 1995",600,"This musical opens with the Rodgers & Hammerstein tune ""Oh, What a Beautiful Mornin'"""
CLASSIC SITCOMS,Liberia,"Show #2541 - Monday, September 25, 1995",800,"On July 26, 1847 this black African democracy declared itself a republic"
ANNUAL EVENTS,(John) Irving,"Show #2541 - Monday, September 25, 1995",800,"Mrs. Berry & Egg die in a plane crash on their way to Vienna in his 1981 novel ""The Hotel New Hampshire"""
ASTROLOGY,Latvian,"Show #2541 - Monday, September 25, 1995",800,This Baltic language is also known as Lett
WORLD CITIES,the Great Salt Lake,"Show #2541 - Monday, September 25, 1995",,"The Lucin cutoff, built across this lake, provided a rail link between Lucin & Ogden"
DOUBLE TALK,solar plexus,"Show #2541 - Monday, September 25, 1995",800,It's the network of nerve fibers & ganglia at the upper part of the back of the abdomen
HISTORY,Rudy Vallée,"Show #2541 - Monday, September 25, 1995",800,"This crooner originated the role of J.B. Biggley in ""How to Succeed in Business Without Really Trying"""
POP MUSIC,melting,"Show #2543 - Wednesday, September 27, 1995",500,"Fusion, the change of a solid to a liquid state, is more commonly called this"
STATE CAPITALS,Pink Floyd,"Show #2543 - Wednesday, September 27, 1995",500,"This British group's 1979 album ""The Wall"" included the hit single ""Another Brick in the Wall"""
FOREIGN WORDS & PHRASES,Madison (Wisconsin),"Show #2543 - Wednesday, September 27, 1995",,"Alphabetically, it's the last state capital named for a U.S. president"
HISTORY,Sweden,"Show #2543 - Wednesday, September 27, 1995",500,Italians call this country La Svezia
COLORS,Napoleon,"Show #2543 - Wednesday, September 27, 1995",200,In 1791 this future French emperor became a lieutenant colonel in the Corsican National Guard
SCIENCE,interest,"Show #2543 - Wednesday, September 27, 1995",200,"An APR, or annual percentage rate, is a rate of this"
POP MUSIC,"""Ms.""","Show #2543 - Wednesday, September 27, 1995",200,A magazine launched in 1972 helped popularize this courtesy title used before a woman's name
STATE CAPITALS,Switzerland,"Show #2543 - Wednesday, September 27, 1995",200,Ticino is this country's southernmost canton
FOREIGN WORDS & PHRASES,the Beagle,"Show #2543 - Wednesday, September 27, 1995",200,"It's voyage was ""naturally"" chronicled in an 1839 book"
HISTORY,Joseph Conrad,"Show #2543 - Wednesday, September 27, 1995",200,"This ""Heart of Darkness"" author's ""Nostromo"" takes place in the fictional country of Costaguana"
COLORS,Cambodia,"Show #2543 - Wednesday, September 27, 1995",400,Between the 800s and 1400s the Khmer had a Hindu-Buddhist kingdom with its capital in what is now this country
SCIENCE,profits,"Show #2543 - Wednesday, September 27, 1995",400,"These proceeds from a business may be normal or supernormal & may be ""shared"" with employees"
POP MUSIC,Geraldine Ferraro,"Show #2543 - Wednesday, September 27, 1995",400,1994 inductees into the National Women's Hall of Fame included Bella Abzug & this 1984 candidate for VP
"STARTS WITH ""J""",the bear,"Show #1837 - Tuesday, September 8, 1992",300,This mammal appears on both the state seal & the state flag of California
PRESIDENTIAL MOMS,junk,"Show #1837 - Tuesday, September 8, 1992",300,This type of food is named for its lack of nutritional value; you don't have to eat it on a Chinese boat
THE AMERICAN REVOLUTION,John Quincy Adams,"Show #1837 - Tuesday, September 8, 1992",300,Abigail Smith
TV NOSTALGIA,Deuteronomy,"Show #1837 - Tuesday, September 8, 1992",400,"The name of this final book of the Pentateuch means ""second law"""
ALL ABOUT TEETH,Clarabell,"Show #1837 - Tuesday, September 8, 1992",400,"On the final telecast of ""Howdy Doody"", he broke his series-long silence to say, ""Goodbye, kids"""
STATE SYMBOLS,the molars,"Show #1837 - Tuesday, September 8, 1992",400,These teeth have 3-5 cusps and 2 or 3 roots
"STARTS WITH ""J""",the ,"Show #1837 - Tuesday, September 8, 1992",400,"In 1982, Colorado made this plated dinosaur its state fossil"
PRESIDENTIAL MOMS,a jester,"Show #1837 - Tuesday, September 8, 1992",400,World Book says that licenses were issued to these professional fools in the 1600s -- no fooling
THE AMERICAN REVOLUTION,(George) Bush,"Show #1837 - Tuesday, September 8, 1992",400,Dorothy Walker
TV NOSTALGIA,a pearl,"Show #1837 - Tuesday, September 8, 1992",,In Matthew the value of entering the Kingdom of Heaven is likened to this gem
ALL ABOUT TEETH,,"Show #1837 - Tuesday, September 8, 1992",500,"Before ""The Munsters"", Fred Gwynne & Al Lewis appeared together on this cop comedy"
STATE SYMBOLS,the incisor,"Show #1837 - Tuesday, September 8, 1992",500,"From the Latin for ""to cut"", it's a tooth adapted for cutting"
"STARTS WITH ""J""",the praying mantis,"Show #1837 - Tuesday, September 8, 1992",500,"Say ""amen""; it's the state insect of Connecticut"
PRESIDENTIAL MOMS,a jellyfish,"Show #1837 - Tuesday, September 8, 1992",500,The sea wasp variety of these is so venomous its sting can cause death within a few minutes
THE AMERICAN REVOLUTION,Jimmy Carter,"Show #1837 - Tuesday, September 8, 1992",500,Lillian Gordy
CLASSIC SITCOMS,(Marshal) Pétain,"Show #2541 - Monday, September 25, 1995",1000,in July 1945 this former French chief of state went on trial for treason
ANNUAL EVENTS,,"Show #2541 - Monday, September 25, 1995",1000,"In this 1957 Kerouac novel, Old Bull Lee is based on author William S. Burroughs"
ASTROLOGY,Sanskrit,"Show #2541 - Monday, September 25, 1995",1000,The ancient philosophical texts known as the Upanishads were written in this classical language
WORLD CITIES,Lake Pontchartrain,"Show #2541 - Monday, September 25, 1995",1000,Lake Borgne connects this Louisiana lake to the Gulf of Mexico
DOUBLE TALK,orthopedics,"Show #2541 - Monday, September 25, 1995",1000,This branch of medicine is concerned with the musculoskeletal system
HISTORY,"""Climb Ev\'ry Mountain""","Show #2541 - Monday, September 25, 1995",1000,"Both acts of ""The Sound of Music"" close with this inspirational song"
STATE CAPITALS,The Netherlands,"Show #2543 - Wednesday, September 27, 1995",400,"This European country's highest point is Vaalserberg which rises 1,053 feet near Maastricht"
FOREIGN WORDS & PHRASES,the Nautilus,"Show #2543 - Wednesday, September 27, 1995",400,It was the first nuclear-powered submarine to sail under the North Pole
HISTORY,Vassar,"Show #2543 - Wednesday, September 27, 1995",400,"In Mary McCarthy's ""The Group"", Kay Strong marries one week after graduation from this college"
COLORS,Gibraltar,"Show #2543 - Wednesday, September 27, 1995",600,In 1830 this peninsula connected to southern Spain was made a British crown colony
SCIENCE,bullion,"Show #2543 - Wednesday, September 27, 1995",,Term for precious metals like gold or silver used in international transactions in bulk form
